기기ID,기기명,기기유형,설치위치,제조사,모델명,설치일자,정격용량,기기상태
EQ0001,분사기-1,냉각기,공장B-2층,한화Q셀,MOD-4312,2020-05-01,134.76,정상
EQ0002,밸브-2,센서,창고-1층,현대중공업,MOD-8070,2020-01-03,378.87,정상
EQ0003,센서-3,펌프,창고-1층,케이시,MOD-8866,2020-08-18,120.27,부분결함
EQ0004,냉각기-4,냉각기,공장A-3층,삼성중공업,MOD-636,2020-04-18,155.55,정상
EQ0005,분사기-5,모터,창고-2층,효성,MOD-1725,2020-05-25,483.51,정상
EQ0006,변압기-6,펌프,공장A-1층,LS산전,MOD-8073,2020-01-21,164.89,정상
EQ0007,모터-7,밸브,공장A-3층,현대중공업,MOD-8677,2020-09-15,347.73,주의
EQ0008,분사기-8,냉각기,공장B-1층,삼성중공업,MOD-8170,2020-01-25,490.38,정상
EQ0009,센서-9,분사기,공장A-2층,두산중공업,MOD-8766,2020-08-04,218.43,주의
EQ0010,냉각기-10,펌프,창고-1층,한화Q셀,MOD-8709,2020-12-27,57.88,정상
EQ0011,밸브-11,모터,공장B-1층,효성,MOD-6590,2020-10-05,159.87,주의
EQ0012,센서-12,컴프레서,공장B-1층,현대중공업,MOD-3700,2020-05-11,423.89,정상
EQ0013,센서-13,제어판,공장B-2층,현대중공업,MOD-6883,2020-12-06,439.07,경고
EQ0014,모터-14,변압기,공장A-2층,LS산전,MOD-9246,2020-07-24,395.83,주의
EQ0015,열교환기-15,열교환기,공장B-1층,LS산전,MOD-5071,2020-08-11,100.9,정상
EQ0016,냉각기-16,변압기,공장B-1층,두산중공업,MOD-1305,2020-02-25,407.98,정상
EQ0017,컴프레서-17,모터,공장A-2층,한화Q셀,MOD-2090,2020-07-20,463.41,정상
EQ0018,센서-18,센서,공장A-2층,두산중공업,MOD-5399,2020-04-27,320.27,정상
EQ0019,열교환기-19,센서,공장B-1층,삼성중공업,MOD-3672,2020-08-20,473.39,정상
EQ0020,컴프레서-20,컴프레서,공장A-2층,삼성중공업,MOD-6075,2020-06-21,422.08,주의
EQ0021,냉각기-21,열교환기,공장B-1층,두산중공업,MOD-6420,2020-03-13,350.14,정상
EQ0022,펌프-22,분사기,공장B-1층,한화Q셀,MOD-4480,2020-10-11,309.73,정상
EQ0023,변압기-23,컴프레서,공장B-2층,두산중공업,MOD-4857,2020-02-25,206.86,정상
EQ0024,열교환기-24,변압기,공장A-1층,한화Q셀,MOD-2813,2020-10-09,121.68,정상
EQ0025,제어판-25,컴프레서,공장B-1층,한화Q셀,MOD-5688,2020-01-26,322.23,경고
EQ0026,펌프-26,변압기,공장A-3층,케이시,MOD-1066,2020-03-24,193.15,정상
EQ0027,변압기-27,펌프,창고-1층,효성,MOD-5044,2020-06-05,439.9,주의
EQ0028,모터-28,센서,창고-2층,한화Q셀,MOD-3532,2020-05-22,497.0,경고
EQ0029,분사기-29,펌프,공장A-1층,LS산전,MOD-788,2020-07-17,388.59,주의
EQ0030,밸브-30,제어판,공장A-1층,한화Q셀,MOD-4343,2020-09-03,90.72,경고
EQ0031,제어판-1,열교환기,공장A-1층,한화Q셀,MOD-3801,2020-04-26,179.91,정상
EQ0032,모터-2,분사기,공장B-2층,한화Q셀,MOD-8633,2020-01-27,99.1,부분결함
EQ0033,냉각기-3,변압기,공장B-1층,케이시,MOD-5282,2020-10-03,342.73,정상
EQ0034,모터-4,분사기,공장B-2층,케이시,MOD-6804,2020-02-18,394.34,정상
EQ0035,분사기-5,변압기,공장B-1층,삼성중공업,MOD-4522,2020-01-24,466.55,주의
EQ0036,냉각기-6,모터,공장B-2층,케이시,MOD-1859,2020-03-03,247.18,부분결함
EQ0037,제어판-7,컴프레서,공장B-2층,LS산전,MOD-9281,2020-06-13,455.62,경고
EQ0038,분사기-8,제어판,창고-1층,LS산전,MOD-2582,2020-08-15,445.05,정상
EQ0039,컴프레서-9,센서,공장A-3층,케이시,MOD-8158,2020-09-09,192.74,정상
EQ0040,밸브-10,변압기,공장B-2층,두산중공업,MOD-1051,2020-04-14,441.01,부분결함
EQ0041,제어판-11,분사기,창고-1층,효성,MOD-9014,2020-05-02,219.05,정상
EQ0042,컴프레서-12,제어판,공장A-2층,케이시,MOD-2179,2020-11-09,183.59,주의
EQ0043,변압기-13,밸브,공장A-3층,한화Q셀,MOD-2817,2020-08-03,342.08,경고
EQ0044,제어판-14,밸브,공장B-2층,현대중공업,MOD-4624,2020-11-28,197.77,정상
EQ0045,변압기-15,펌프,창고-2층,효성,MOD-9792,2020-09-03,333.59,정상
EQ0046,냉각기-16,센서,공장A-1층,효성,MOD-8577,2020-09-02,324.42,정상
EQ0047,컴프레서-17,모터,공장A-2층,LS산전,MOD-7411,2020-12-10,303.55,정상
EQ0048,밸브-18,분사기,공장A-2층,효성,MOD-7286,2020-09-15,221.19,경고
EQ0049,분사기-19,컴프레서,창고-1층,케이시,MOD-2165,2020-08-25,296.82,정상
EQ0050,센서-20,컴프레서,공장A-2층,한화Q셀,MOD-868,2020-05-11,318.42,경고
EQ0051,모터-21,분사기,공장A-3층,한화Q셀,MOD-5590,2020-11-02,295.56,정상
EQ0052,펌프-22,열교환기,공장B-2층,삼성중공업,MOD-6745,2020-08-28,249.99,부분결함
EQ0053,밸브-23,모터,공장B-2층,한화Q셀,MOD-5183,2020-06-08,56.6,정상
EQ0054,컴프레서-24,제어판,창고-2층,한화Q셀,MOD-5332,2020-11-05,314.18,정상
