기기ID,기기명,기기유형,설치위치,제조사,모델명,설치일자,정격용량,기기상태,최근점검일자,최근점검항목,최근점검결과,최근유지보수일자,최근유지보수유형,총비용
EQ0001,분사기-1,냉각기,공장B-2층,한화Q셀,MOD-4312,2020-05-01,134.76,정상,2024-05-31,소음진동,정상,2024-08-11,개선정비,2300875
EQ0002,밸브-2,센서,창고-1층,현대중공업,MOD-8070,2020-01-03,378.87,정상,2024-07-25,유량측정,주의,2024-08-17,개선정비,1444896
EQ0003,센서-3,펌프,창고-1층,케이시,MOD-8866,2020-08-18,120.27,부분결함,2024-07-04,외관검사,경고,2024-06-21,응급정비,1670800
EQ0004,냉각기-4,냉각기,공장A-3층,삼성중공업,MOD-636,2020-04-18,155.55,정상,2024-08-20,외관검사,주의,2023-12-28,응급정비,1423234
EQ0005,분사기-5,모터,창고-2층,효성,MOD-1725,2020-05-25,483.51,정상,2024-03-28,외관검사,정상,2024-01-30,사후정비,685521
EQ0006,변압기-6,펌프,공장A-1층,LS산전,MOD-8073,2020-01-21,164.89,정상,2024-07-27,외관검사,주의,2023-12-04,응급정비,2057852
EQ0007,모터-7,밸브,공장A-3층,현대중공업,MOD-8677,2020-09-15,347.73,주의,2024-06-25,소음진동,정상,2024-04-12,응급정비,1404962
EQ0008,분사기-8,냉각기,공장B-1층,삼성중공업,MOD-8170,2020-01-25,490.38,정상,2024-08-04,전류측정,정상,2024-05-16,개선정비,774822
EQ0009,센서-9,분사기,공장A-2층,두산중공업,MOD-8766,2020-08-04,218.43,주의,2024-07-26,온도측정,정상,2024-08-19,사후정비,1675445
EQ0010,냉각기-10,펌프,창고-1층,한화Q셀,MOD-8709,2020-12-27,57.88,정상,2024-06-16,유량측정,불량,2024-06-28,사후정비,1383777
EQ0011,밸브-11,모터,공장B-1층,효성,MOD-6590,2020-10-05,159.87,주의,2024-06-16,유량측정,정상,2024-07-28,사후정비,479996
EQ0012,센서-12,컴프레서,공장B-1층,현대중공업,MOD-3700,2020-05-11,423.89,정상,2024-08-18,유량측정,정상,2024-07-24,개선정비,2283285
EQ0013,센서-13,제어판,공장B-2층,현대중공업,MOD-6883,2020-12-06,439.07,경고,2024-08-18,소음진동,정상,2024-05-12,예방정비,1550574
EQ0014,모터-14,변압기,공장A-2층,LS산전,MOD-9246,2020-07-24,395.83,주의,2024-04-19,유량측정,정상,2024-07-16,응급정비,2007509
EQ0015,열교환기-15,열교환기,공장B-1층,LS산전,MOD-5071,2020-08-11,100.9,정상,2024-07-04,절연저항,정상,2024-05-16,사후정비,1292760
EQ0016,냉각기-16,변압기,공장B-1층,두산중공업,MOD-1305,2020-02-25,407.98,정상,2024-08-17,온도측정,정상,2024-01-26,개선정비,394044
EQ0017,컴프레서-17,모터,공장A-2층,한화Q셀,MOD-2090,2020-07-20,463.41,정상,2024-08-18,온도측정,정상,2023-08-30,개선정비,424753
EQ0018,센서-18,센서,공장A-2층,두산중공업,MOD-5399,2020-04-27,320.27,정상,2024-07-03,전류측정,정상,2024-07-01,응급정비,1138865
EQ0019,열교환기-19,센서,공장B-1층,삼성중공업,MOD-3672,2020-08-20,473.39,정상,2023-09-04,압력검사,주의,2024-01-01,응급정비,425269
EQ0020,컴프레서-20,컴프레서,공장A-2층,삼성중공업,MOD-6075,2020-06-21,422.08,주의,2024-07-27,외관검사,정상,2024-04-06,예방정비,1971340
EQ0021,냉각기-21,열교환기,공장B-1층,두산중공업,MOD-6420,2020-03-13,350.14,정상,2024-07-29,소음진동,정상,2023-11-02,예방정비,333860
EQ0022,펌프-22,분사기,공장B-1층,한화Q셀,MOD-4480,2020-10-11,309.73,정상,2024-08-13,압력검사,정상,2024-05-25,예방정비,1730562
EQ0023,변압기-23,컴프레서,공장B-2층,두산중공업,MOD-4857,2020-02-25,206.86,정상,2024-08-20,절연저항,주의,2024-06-06,사후정비,1922294
EQ0024,열교환기-24,변압기,공장A-1층,한화Q셀,MOD-2813,2020-10-09,121.68,정상,2024-05-08,온도측정,정상,2024-08-06,응급정비,1371505
EQ0025,제어판-25,컴프레서,공장B-1층,한화Q셀,MOD-5688,2020-01-26,322.23,경고,2024-08-06,유량측정,정상,2024-05-12,응급정비,2055198
EQ0026,펌프-26,변압기,공장A-3층,케이시,MOD-1066,2020-03-24,193.15,정상,2024-07-04,외관검사,정상,2024-07-24,개선정비,2706187
EQ0027,변압기-27,펌프,창고-1층,효성,MOD-5044,2020-06-05,439.9,주의,2024-08-18,전류측정,정상,2024-08-15,개선정비,1677726
EQ0028,모터-28,센서,창고-2층,한화Q셀,MOD-3532,2020-05-22,497.0,경고,2024-05-25,소음진동,정상,2024-01-27,예방정비,550639
EQ0029,분사기-29,펌프,공장A-1층,LS산전,MOD-788,2020-07-17,388.59,주의,2024-06-13,압력검사,정상,2024-02-11,응급정비,1509571
EQ0030,밸브-30,제어판,공장A-1층,한화Q셀,MOD-4343,2020-09-03,90.72,경고,2024-07-24,소음진동,정상,2024-05-21,응급정비,2366314
EQ0031,제어판-1,열교환기,공장A-1층,한화Q셀,MOD-3801,2020-04-26,179.91,정상,2024-07-28,온도측정,정상,2024-07-08,사후정비,2448085
EQ0032,모터-2,분사기,공장B-2층,한화Q셀,MOD-8633,2020-01-27,99.1,부분결함,2024-08-05,유량측정,정상,2023-12-22,응급정비,1356162
EQ0033,냉각기-3,변압기,공장B-1층,케이시,MOD-5282,2020-10-03,342.73,정상,2024-08-13,전류측정,정상,2024-05-29,개선정비,960265
EQ0034,모터-4,분사기,공장B-2층,케이시,MOD-6804,2020-02-18,394.34,정상,2024-07-03,절연저항,정상,2024-06-19,개선정비,1801994
EQ0035,분사기-5,변압기,공장B-1층,삼성중공업,MOD-4522,2020-01-24,466.55,주의,2023-12-22,외관검사,정상,2024-03-28,사후정비,1411880
