기기ID,교체일자,부품명,부품규격,교체수량,부품비(원),공임(원),교체사유,담당자
EQ0001,2023-04-19,케이싱,41mm,4,146898,22192,손상,김철수
EQ0001,2023-05-12,베어링,73mm,2,19409,34795,정기교체,박준호
EQ0001,2023-06-30,로드,69mm,1,133411,64036,노후,이영희
EQ0002,2023-01-28,씰,15mm,2,79650,88120,정기교체,김철수
EQ0002,2023-02-06,케이싱,32mm,1,98295,25278,손상,정수현
EQ0002,2024-03-31,베어링,12mm,1,89630,32988,마모,최민준
EQ0002,2024-08-10,임펠러,33mm,4,96391,25242,손상,정수현
EQ0003,2023-02-18,스프링,79mm,3,40961,53844,노후,정수현
EQ0003,2023-03-15,권선,94mm,4,191261,51559,노후,이영희
EQ0003,2024-01-30,케이싱,67mm,1,151016,88041,노후,이영희
EQ0003,2024-02-24,임펠러,84mm,3,118001,71866,성능저하,김철수
EQ0003,2024-07-05,로드,14mm,4,113278,71454,정기교체,정수현
EQ0004,2023-09-18,임펠러,83mm,1,171464,64531,정기교체,박준호
EQ0004,2023-11-25,씰,42mm,2,92922,82222,노후,박준호
EQ0004,2024-01-04,씰,41mm,2,130003,20207,노후,이영희
EQ0004,2024-05-18,밸브시트,93mm,2,54185,65707,정기교체,박준호
EQ0005,2023-06-05,권선,74mm,3,119433,92593,성능저하,박준호
EQ0005,2024-04-29,밸브시트,48mm,4,81036,49666,마모,최민준
EQ0005,2024-05-21,로드,89mm,2,111085,69269,정기교체,김철수
EQ0005,2024-07-20,임펠러,26mm,4,50694,62612,성능저하,이영희
EQ0005,2024-08-16,피스톤,80mm,1,26696,28354,노후,정수현
EQ0006,2023-08-28,피스톤,74mm,4,61771,44303,손상,이영희
EQ0006,2024-01-12,베어링,42mm,4,174238,75782,마모,박준호
EQ0007,2023-01-18,권선,31mm,4,82590,63468,손상,김철수
EQ0007,2023-02-22,필터,39mm,2,178964,48484,노후,정수현
EQ0007,2023-10-13,케이싱,10mm,4,124426,57362,성능저하,박준호
EQ0008,2023-03-30,로드,50mm,3,54329,23045,노후,이영희
EQ0008,2023-06-04,밸브시트,46mm,2,44764,70493,노후,김철수
EQ0008,2023-11-09,피스톤,72mm,1,147586,57668,손상,최민준
EQ0008,2023-12-24,스프링,38mm,3,197210,99133,노후,이영희
EQ0008,2024-06-10,권선,43mm,2,147424,86941,성능저하,정수현
EQ0009,2023-01-21,필터,95mm,1,150199,55536,노후,김철수
EQ0009,2023-10-04,스프링,66mm,2,108736,53777,손상,정수현
EQ0010,2023-06-05,권선,20mm,1,47365,66233,손상,최민준
EQ0010,2023-11-28,필터,73mm,2,57941,96312,성능저하,이영희
EQ0010,2024-05-06,필터,24mm,3,48056,76965,마모,김철수
EQ0011,2023-04-22,권선,18mm,3,167298,96202,성능저하,박준호
EQ0011,2023-11-03,임펠러,99mm,2,40949,45853,성능저하,이영희
EQ0011,2023-12-05,씰,48mm,2,142568,81263,노후,최민준
EQ0011,2024-03-07,임펠러,72mm,4,72284,25690,노후,최민준
EQ0012,2023-01-11,씰,37mm,2,190555,59913,성능저하,김철수
EQ0012,2023-11-01,케이싱,10mm,3,158079,70199,정기교체,최민준
EQ0012,2024-07-09,베어링,88mm,2,41475,36926,성능저하,이영희
EQ0013,2023-06-30,케이싱,92mm,2,171881,71742,노후,최민준
EQ0014,2023-02-09,필터,79mm,4,42657,58217,정기교체,박준호
EQ0014,2023-03-22,필터,27mm,4,145655,81226,마모,김철수
EQ0014,2023-03-30,밸브시트,56mm,1,53153,68657,손상,최민준
EQ0014,2023-05-15,스프링,53mm,4,162754,67442,정기교체,정수현
EQ0014,2024-01-13,케이싱,37mm,1,152248,77498,마모,이영희
EQ0015,2023-10-22,씰,94mm,1,88385,90144,성능저하,최민준
EQ0015,2023-11-24,씰,44mm,3,103722,34978,정기교체,김철수
EQ0016,2023-06-11,필터,80mm,1,138956,77707,성능저하,김철수
EQ0017,2023-10-31,필터,25mm,3,70865,52408,손상,정수현
EQ0018,2023-05-16,밸브시트,24mm,2,88771,25189,성능저하,이영희
EQ0018,2024-03-04,로드,12mm,2,50526,58153,노후,이영희
EQ0019,2023-06-26,피스톤,35mm,3,160978,40802,마모,이영희
EQ0019,2024-01-05,밸브시트,87mm,2,46994,27692,정기교체,김철수
EQ0019,2024-07-05,케이싱,36mm,2,131389,24540,손상,이영희
EQ0020,2023-02-26,씰,19mm,1,172750,39282,노후,이영희
EQ0020,2023-07-02,스프링,22mm,3,138929,35637,성능저하,박준호
EQ0021,2023-06-23,피스톤,82mm,2,35268,97776,노후,김철수
EQ0021,2023-11-12,베어링,79mm,1,74758,45678,노후,박준호
EQ0021,2023-12-05,피스톤,50mm,4,141589,97961,마모,정수현
EQ0021,2024-04-17,밸브시트,11mm,1,58139,33227,손상,정수현
EQ0022,2023-07-02,베어링,12mm,1,157258,79085,성능저하,최민준
EQ0022,2023-08-25,씰,92mm,1,154517,21867,마모,박준호
EQ0022,2023-12-21,스프링,32mm,1,174943,88713,마모,박준호
EQ0022,2024-02-17,씰,81mm,3,106633,38430,손상,이영희
EQ0022,2024-05-03,씰,86mm,2,185859,21299,마모,정수현
EQ0023,2023-03-10,밸브시트,57mm,2,84478,35840,마모,박준호
EQ0023,2023-05-10,밸브시트,35mm,1,90068,59828,손상,정수현
EQ0023,2023-07-30,임펠러,81mm,3,90037,75509,노후,정수현
EQ0023,2023-09-21,케이싱,66mm,1,73756,99268,손상,정수현
EQ0024,2023-01-03,로드,79mm,4,58505,25117,마모,박준호
EQ0025,2023-03-27,밸브시트,55mm,3,16137,55644,마모,이영희
EQ0025,2024-02-08,밸브시트,50mm,3,115153,26686,손상,박준호
EQ0025,2024-03-17,스프링,64mm,2,60029,54654,정기교체,김철수
EQ0026,2023-06-21,케이싱,97mm,4,14991,25202,정기교체,정수현
EQ0026,2023-07-08,로드,87mm,3,84916,97340,정기교체,김철수
EQ0026,2024-02-29,필터,38mm,3,36474,58886,손상,최민준
EQ0026,2024-04-23,케이싱,10mm,2,100685,35178,정기교체,이영희
EQ0026,2024-06-28,베어링,22mm,2,174033,44839,성능저하,김철수
EQ0027,2024-01-30,베어링,48mm,2,25903,31309,성능저하,최민준
EQ0027,2024-04-09,케이싱,22mm,1,105862,86156,마모,이영희
EQ0028,2023-07-20,스프링,71mm,4,183473,93071,정기교체,이영희
EQ0028,2024-03-25,밸브시트,31mm,2,25106,53837,손상,정수현
EQ0028,2024-06-03,권선,24mm,4,117686,70551,성능저하,정수현
EQ0029,2023-02-23,로드,51mm,1,39925,73989,성능저하,정수현
EQ0029,2023-08-24,씰,90mm,1,94853,88045,노후,김철수
EQ0029,2023-09-27,로드,44mm,2,115654,75036,노후,정수현
EQ0029,2023-10-15,임펠러,90mm,2,188769,42694,마모,김철수
EQ0030,2024-06-22,권선,47mm,2,165531,83913,정기교체,이영희
EQ0031,2023-03-23,로드,87mm,1,172591,83386,손상,박준호
EQ0031,2023-06-30,케이싱,49mm,1,103606,92585,정기교체,이영희
EQ0031,2023-07-15,권선,39mm,2,173941,56603,손상,최민준
EQ0031,2023-09-23,밸브시트,70mm,3,50975,61520,손상,김철수
EQ0031,2023-10-13,베어링,64mm,4,102192,36941,마모,김철수
EQ0032,2023-01-10,권선,58mm,1,45022,68707,성능저하,이영희
EQ0032,2023-05-19,케이싱,99mm,4,48399,85665,정기교체,박준호
EQ0033,2023-04-07,스프링,70mm,4,21058,32218,손상,최민준
EQ0033,2023-11-12,권선,61mm,4,35552,33629,손상,박준호
EQ0033,2023-12-25,임펠러,13mm,3,138557,90809,손상,정수현
EQ0033,2024-03-04,밸브시트,54mm,3,184446,66908,정기교체,정수현
EQ0034,2023-08-18,로드,53mm,4,33988,53301,손상,최민준
EQ0035,2023-09-03,필터,80mm,1,135085,39369,마모,이영희
EQ0036,2024-08-05,필터,41mm,2,28506,83625,노후,박준호
EQ0037,2023-02-16,씰,36mm,2,78907,20157,노후,박준호
