연월,기기ID,가동시간(시간),평균온도(℃),평균압력(bar),에러발생횟수,종합상태
2023-01,EQ0001,519.1,22.7,6.09,0,경고
2023-01,EQ0003,618.9,25.8,9.13,2,정상
2023-01,EQ0004,335.07,59.5,5.28,0,정상
2023-01,EQ0006,605.21,57.9,4.3,4,경고
2023-01,EQ0007,624.15,23.3,1.0,1,주의
2023-01,EQ0013,379.72,52.9,7.68,2,정상
2023-01,EQ0015,279.8,48.6,9.81,1,정상
2023-01,EQ0016,286.43,58.9,5.69,3,정상
2023-01,EQ0018,781.2,56.6,5.96,2,정상
2023-01,EQ0019,352.85,23.4,3.6,1,정상
2023-01,EQ0020,718.61,29.9,8.54,4,정상
2023-01,EQ0021,608.64,45.1,2.47,2,정상
2023-01,EQ0022,265.42,44.7,1.4,3,정상
2023-01,EQ0027,795.87,43.6,2.12,2,정상
2023-01,EQ0030,795.95,37.4,5.72,0,정상
2023-01,EQ0031,530.89,42.2,7.5,2,정상
2023-01,EQ0037,464.54,20.9,7.94,3,정상
2023-01,EQ0039,724.36,47.0,4.8,2,정상
2023-01,EQ0043,318.82,26.9,8.73,2,정상
2023-01,EQ0044,257.75,47.3,3.35,3,정상
2023-01,EQ0048,706.21,24.1,1.3,0,정상
2023-01,EQ0049,583.74,51.1,3.15,1,정상
2023-01,EQ0050,346.72,49.4,9.17,2,정상
2023-01,EQ0051,444.87,47.0,6.17,1,정상
2023-01,EQ0052,281.95,40.4,2.76,3,정상
2023-01,EQ0053,292.95,41.5,7.9,1,주의
2023-01,EQ0056,337.87,51.6,2.26,4,정상
2023-01,EQ0057,600.19,54.7,4.06,1,정상
2023-01,EQ0059,226.11,36.7,6.34,3,정상
2023-01,EQ0061,546.08,54.5,3.34,2,주의
2023-01,EQ0066,707.6,59.2,2.08,0,정상
2023-01,EQ0067,755.77,44.8,9.29,0,주의
2023-01,EQ0069,650.47,32.8,7.81,1,정상
2023-01,EQ0071,743.98,39.0,2.28,2,주의
2023-01,EQ0072,580.4,22.9,2.54,0,정상
2023-01,EQ0073,670.25,32.5,5.81,3,정상
2023-01,EQ0074,733.17,58.1,9.42,3,정상
2023-01,EQ0075,304.89,20.5,5.79,3,정상
2023-01,EQ0076,549.18,24.4,5.52,3,경고
2023-01,EQ0077,673.11,26.3,2.56,4,정상
2023-01,EQ0078,227.91,25.1,4.99,1,정상
2023-01,EQ0079,210.37,26.9,4.14,1,정상
2023-01,EQ0080,595.3,21.6,1.13,2,정상
2023-01,EQ0082,544.73,56.3,1.32,4,경고
2023-01,EQ0084,529.2,35.3,3.59,3,주의
2023-01,EQ0085,424.96,36.9,6.03,1,정상
2023-01,EQ0087,731.55,50.7,8.47,4,경고
2023-01,EQ0088,298.47,35.7,7.54,4,정상
2023-01,EQ0089,340.27,36.9,7.31,4,정상
2023-01,EQ0090,683.57,59.6,8.78,0,정상
2023-01,EQ0092,499.72,33.5,6.82,3,정상
2023-01,EQ0093,317.19,57.6,8.15,1,정상
2023-01,EQ0095,230.25,55.4,6.28,2,정상
2023-01,EQ0097,754.47,30.9,6.16,0,정상
2023-01,EQ0099,352.69,21.2,4.7,3,정상
2023-01,EQ0101,521.92,52.5,5.18,1,정상
2023-01,EQ0102,414.08,30.7,9.76,2,주의
2023-01,EQ0103,740.27,40.6,1.22,1,정상
2023-01,EQ0105,407.99,59.8,4.22,0,정상
2023-01,EQ0106,298.65,47.0,9.54,0,경고
2023-01,EQ0107,581.64,22.8,4.08,2,정상
2023-01,EQ0108,246.87,38.2,7.51,3,경고
2023-01,EQ0111,211.35,46.8,9.61,2,정상
2023-01,EQ0112,775.7,42.7,7.14,0,정상
2023-01,EQ0113,794.23,51.7,7.8,2,주의
2023-01,EQ0118,457.76,48.1,7.22,3,정상
2023-01,EQ0119,799.01,42.0,6.05,0,정상
2023-01,EQ0121,758.01,49.2,4.32,3,정상
2023-01,EQ0123,795.7,47.2,4.82,1,정상
2023-01,EQ0125,520.43,39.7,9.73,0,정상
2023-01,EQ0133,606.28,39.7,7.18,0,주의
2023-01,EQ0134,750.63,34.7,9.25,4,정상
2023-01,EQ0135,205.84,43.8,6.93,3,정상
2023-01,EQ0136,715.86,35.1,3.97,0,정상
2023-01,EQ0140,301.67,32.6,8.6,2,정상
2023-01,EQ0144,644.66,22.5,9.68,2,정상
2023-01,EQ0148,575.27,39.3,6.22,4,주의
2023-01,EQ0149,251.9,40.7,2.43,3,정상
2023-01,EQ0150,577.07,38.5,7.31,3,경고
2023-01,EQ0151,670.22,36.7,1.01,4,경고
2023-01,EQ0152,588.9,58.7,7.1,1,정상
2023-01,EQ0154,274.17,36.7,5.61,0,주의
2023-01,EQ0156,281.92,32.5,5.62,2,정상
2023-01,EQ0161,414.39,42.2,2.38,1,주의
2023-01,EQ0162,505.89,28.6,6.33,4,정상
2023-01,EQ0163,543.47,60.0,2.14,4,정상
2023-01,EQ0165,302.06,52.2,3.26,4,정상
2023-01,EQ0166,570.58,31.8,9.58,1,정상
2023-01,EQ0167,201.66,42.8,4.49,1,정상
2023-01,EQ0169,498.11,43.6,8.04,3,정상
2023-01,EQ0170,537.6,41.5,4.16,1,경고
2023-01,EQ0174,264.67,41.7,4.38,4,경고
2023-01,EQ0175,433.98,51.6,3.21,2,경고
2023-01,EQ0176,511.8,30.2,2.18,0,경고
2023-01,EQ0179,315.17,48.1,7.1,1,정상
2023-01,EQ0180,292.19,27.3,8.91,4,주의
2023-01,EQ0181,319.01,49.6,3.52,3,정상
2023-01,EQ0182,416.81,37.9,3.62,4,정상
2023-01,EQ0183,492.56,40.2,3.64,4,정상
2023-01,EQ0188,548.91,55.8,6.0,3,정상
2023-01,EQ0189,650.09,56.3,4.94,4,정상
2023-01,EQ0193,742.84,22.3,8.32,3,정상
2023-01,EQ0194,734.89,51.7,1.69,2,정상
2023-01,EQ0195,242.33,34.8,5.72,0,주의
2023-01,EQ0198,388.35,45.5,5.29,0,주의
2023-01,EQ0199,283.61,36.0,3.55,4,정상
2023-01,EQ0200,795.71,54.2,9.58,1,주의
2023-01,EQ0201,227.88,48.2,7.56,0,정상
2023-01,EQ0202,211.24,20.9,8.99,3,경고
2023-01,EQ0203,215.56,28.7,5.35,4,정상
2023-01,EQ0204,524.27,36.9,7.06,1,경고
2023-01,EQ0209,373.44,57.8,5.66,1,주의
2023-01,EQ0211,271.11,38.4,7.51,0,주의
2023-01,EQ0212,564.04,40.2,2.95,4,정상
2023-01,EQ0213,453.38,41.4,3.16,2,주의
2023-01,EQ0219,397.6,20.4,9.6,0,주의
2023-01,EQ0221,766.52,36.5,6.1,3,정상
2023-01,EQ0222,406.36,37.2,9.15,0,정상
2023-01,EQ0224,359.84,36.3,1.31,0,정상
2023-01,EQ0227,706.18,40.8,9.3,2,정상
2023-01,EQ0229,545.92,41.9,3.46,4,주의
2023-01,EQ0232,760.06,28.7,6.92,2,정상
2023-01,EQ0233,274.32,26.0,7.95,0,정상
2023-01,EQ0235,582.01,26.4,3.79,0,정상
2023-01,EQ0238,290.68,21.7,4.59,3,정상
2023-01,EQ0240,255.58,28.8,7.53,2,정상
2023-01,EQ0242,369.89,60.0,3.95,1,정상
2023-01,EQ0244,565.64,24.7,6.68,0,경고
2023-01,EQ0248,335.59,51.6,1.97,0,정상
2023-01,EQ0254,522.77,53.4,6.32,2,정상
2023-01,EQ0255,761.87,57.4,8.91,4,정상
2023-01,EQ0257,225.96,47.8,9.5,4,주의
2023-01,EQ0258,569.24,59.3,1.67,4,정상
2023-01,EQ0259,475.36,27.8,4.25,4,정상
2023-01,EQ0261,483.4,56.3,4.69,4,주의
2023-01,EQ0262,289.65,37.1,7.91,1,주의
2023-01,EQ0263,295.85,33.3,3.97,0,정상
2023-01,EQ0266,693.34,35.1,2.3,2,정상
2023-01,EQ0267,539.15,32.9,7.0,0,정상
2023-01,EQ0272,753.96,57.7,8.84,0,정상
2023-01,EQ0276,437.7,44.3,5.97,0,정상
2023-01,EQ0277,265.57,27.7,6.67,4,정상
2023-01,EQ0278,520.93,56.8,8.21,1,정상
2023-01,EQ0279,293.86,37.8,6.58,3,정상
2023-01,EQ0282,382.15,34.5,5.52,3,정상
2023-01,EQ0285,388.35,46.7,2.69,2,정상
2023-01,EQ0287,296.3,47.9,8.86,0,주의
2023-01,EQ0288,355.95,31.6,2.68,2,정상
2023-01,EQ0294,282.44,23.0,3.86,1,경고
2023-01,EQ0298,266.07,54.3,1.97,2,정상
2023-02,EQ0003,368.88,30.9,1.91,1,주의
2023-02,EQ0006,646.48,51.1,4.24,4,정상
2023-02,EQ0007,726.67,50.5,4.06,4,경고
2023-02,EQ0011,608.37,31.6,1.67,4,정상
2023-02,EQ0012,594.31,50.9,8.87,1,주의
2023-02,EQ0013,715.44,26.1,1.87,2,경고
2023-02,EQ0014,571.66,31.8,8.53,2,정상
2023-02,EQ0015,385.01,47.9,4.13,3,주의
2023-02,EQ0016,564.9,28.4,8.65,3,정상
2023-02,EQ0018,247.71,31.1,3.74,1,주의
2023-02,EQ0020,570.52,23.9,2.25,4,정상
2023-02,EQ0021,785.95,46.8,6.94,4,주의
2023-02,EQ0023,613.74,35.5,8.64,3,정상
2023-02,EQ0024,748.29,38.2,1.96,1,정상
2023-02,EQ0025,212.99,25.7,2.62,1,주의
