기기ID,유지보수일자,유지보수유형,작업내용,소요시간(시간),비용(원),담당자,완료상태
EQ0001,2023-02-01,응급정비,윤활유 교체,5,361358,박준호,완료
EQ0001,2023-09-20,예방정비,조정 및 수리,5,174506,김철수,완료
EQ0001,2023-10-22,개선정비,전기 점검,3,345305,최민준,완료
EQ0001,2023-10-29,예방정비,윤활유 교체,1,129297,김철수,예정
EQ0001,2023-12-21,예방정비,조정 및 수리,3,401374,정수현,완료
EQ0001,2024-04-06,사후정비,전기 점검,6,217170,최민준,완료
EQ0001,2024-07-24,사후정비,조정 및 수리,7,414069,이영희,진행중
EQ0001,2024-08-11,개선정비,부품 교체,1,257796,박준호,완료
EQ0002,2023-04-08,개선정비,윤활유 교체,6,197511,정수현,완료
EQ0002,2023-09-17,예방정비,윤활유 교체,4,53909,최민준,완료
EQ0002,2024-03-13,개선정비,부품 교체,4,364689,김철수,완료
EQ0002,2024-06-13,응급정비,윤활유 교체,3,168409,박준호,완료
EQ0002,2024-06-21,응급정비,전기 점검,1,96642,이영희,완료
EQ0002,2024-07-26,응급정비,전기 점검,6,288860,최민준,완료
EQ0002,2024-08-17,개선정비,부품 교체,2,274876,이영희,완료
EQ0003,2023-03-19,개선정비,조정 및 수리,6,447422,정수현,완료
EQ0003,2023-10-02,사후정비,전기 점검,3,434062,김철수,완료
EQ0003,2023-12-10,응급정비,전기 점검,3,453365,김철수,진행중
EQ0003,2024-06-21,응급정비,윤활유 교체,2,335951,김철수,완료
EQ0004,2023-04-20,예방정비,윤활유 교체,7,211711,박준호,완료
EQ0004,2023-05-13,응급정비,윤활유 교체,5,239726,최민준,완료
EQ0004,2023-08-15,개선정비,부품 교체,4,189352,박준호,완료
EQ0004,2023-09-19,개선정비,청소 및 점검,5,127313,이영희,완료
EQ0004,2023-10-19,개선정비,부품 교체,3,51207,박준호,완료
EQ0004,2023-10-28,응급정비,전기 점검,7,120400,정수현,예정
EQ0004,2023-11-08,사후정비,부품 교체,3,330926,최민준,완료
EQ0004,2023-12-28,응급정비,청소 및 점검,4,152599,김철수,완료
EQ0005,2023-01-19,사후정비,청소 및 점검,3,118495,최민준,완료
EQ0005,2023-02-02,개선정비,윤활유 교체,6,288092,정수현,진행중
EQ0005,2024-01-30,사후정비,부품 교체,2,278934,정수현,완료
EQ0006,2023-01-01,개선정비,청소 및 점검,6,478625,최민준,완료
EQ0006,2023-02-09,개선정비,조정 및 수리,5,294470,최민준,완료
EQ0006,2023-07-17,사후정비,윤활유 교체,4,331728,최민준,완료
EQ0006,2023-07-23,예방정비,전기 점검,7,76649,정수현,완료
EQ0006,2023-09-21,예방정비,조정 및 수리,6,425253,이영희,진행중
EQ0006,2023-10-06,응급정비,부품 교체,3,150361,정수현,완료
EQ0006,2023-12-04,응급정비,전기 점검,6,300766,김철수,완료
EQ0007,2023-01-23,사후정비,전기 점검,2,144047,정수현,완료
EQ0007,2023-07-16,사후정비,조정 및 수리,3,292763,이영희,완료
