기기ID,점검일자,점검항목,측정값,측정단위,점검결과,담당자,비고
EQ0001,2023-01-08,유량측정,81.36,L/min,정상,김철수,부품교체필요
EQ0001,2023-03-27,유량측정,15.6,MΩ,주의,이영희,윤활유 추가
EQ0001,2023-08-02,전류측정,28.44,bar,정상,최민준,청소완료
EQ0001,2023-08-31,전류측정,54.75,bar,정상,최민준,청소완료
EQ0001,2023-09-11,온도측정,91.83,°C,정상,박준호,청소완료
EQ0001,2023-10-16,외관검사,98.25,bar,경고,이영희,윤활유 추가
EQ0001,2024-01-14,소음진동,18.41,bar,불량,최민준,부품교체필요
EQ0001,2024-01-16,외관검사,60.42,L/min,주의,이영희,
EQ0001,2024-02-27,절연저항,59.4,dB,정상,이영희,
EQ0001,2024-05-31,소음진동,69.78,°C,정상,이영희,윤활유 추가
EQ0002,2023-01-16,외관검사,47.6,bar,정상,정수현,부품교체필요
EQ0002,2023-02-09,절연저항,22.66,°C,정상,정수현,청소완료
EQ0002,2023-05-04,외관검사,85.33,A,정상,김철수,조정완료
EQ0002,2023-08-06,절연저항,74.72,A,정상,김철수,윤활유 추가
EQ0002,2023-08-14,절연저항,84.54,L/min,정상,정수현,청소완료
EQ0002,2023-08-15,압력검사,40.32,°C,주의,이영희,윤활유 추가
EQ0002,2023-08-15,외관검사,37.36,MΩ,주의,최민준,청소완료
EQ0002,2023-09-17,절연저항,65.38,MΩ,경고,김철수,청소완료
EQ0002,2023-09-17,유량측정,89.37,A,정상,박준호,조정완료
EQ0002,2023-10-16,유량측정,76.54,dB,정상,최민준,
EQ0002,2023-12-04,소음진동,65.24,MΩ,주의,최민준,윤활유 추가
EQ0002,2024-04-12,절연저항,81.39,A,정상,박준호,부품교체필요
EQ0002,2024-06-20,온도측정,57.47,°C,주의,이영희,조정완료
EQ0002,2024-07-25,유량측정,98.93,dB,주의,최민준,
EQ0003,2023-09-08,온도측정,60.44,A,정상,최민준,조정완료
EQ0003,2024-02-28,절연저항,92.63,MΩ,경고,박준호,윤활유 추가
EQ0003,2024-03-01,온도측정,82.44,L/min,불량,김철수,윤활유 추가
EQ0003,2024-06-30,온도측정,97.91,MΩ,정상,김철수,
EQ0003,2024-07-04,외관검사,80.96,bar,경고,박준호,
EQ0004,2023-01-26,유량측정,49.9,bar,정상,최민준,
EQ0004,2023-06-28,유량측정,70.88,L/min,정상,최민준,조정완료
EQ0004,2023-07-20,압력검사,12.94,A,주의,김철수,조정완료
EQ0004,2023-11-30,절연저항,63.89,A,경고,이영희,
EQ0004,2023-12-09,전류측정,17.4,MΩ,정상,김철수,윤활유 추가
EQ0004,2024-04-09,절연저항,14.15,°C,정상,김철수,윤활유 추가
EQ0004,2024-05-22,온도측정,88.55,MΩ,정상,정수현,조정완료
